id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,long,lat,latitud,longitud,estado_geocodificacion
24,Turista Hotel,De Mayo Av. 686,(54 11) 4331-2281 / 2485,turistahotel@yahoo.com.ar,,,De Mayo Av.,686.0,De Mayo Av. 686,,,-34.6093033,-58.3879786,ok
25,ADM Ayamitre Hotel,Ayacucho 106,(54 11) 2053-3350,reservas@hotelayamitre.com.ar,,,Ayacucho,106.0,Ayacucho 106,,,-34.6080467,-58.3950381,ok
26,Aires Express,"Mitre, Bartolome 3410",(54 11) 4867-1265 / 4860-0204,hotelairesexpres@gmail.com,,,"Mitre, Bartolome",3410.0,"Mitre, Bartolome 3410",,,-34.6070009,-58.3766938,ok
27,Americano Hotel,Rodriguez Peña 265,(54 11) 4382-4223,,,,Rodriguez Peña,265.0,Rodriguez Peña 265,,,-34.6059863,-58.3906744,ok
29,Ayacucho Palace Hotel,Ayacucho 1048,(54 11) 4806-1815,reservas@ayacuchohotel.com.ar,,,Ayacucho,1048.0,Ayacucho 1048,,,-34.6038994,-58.395363,ok
30,Be Hollywood,Humboldt 1716,(54 11) 5555-8100,reservas@behollywood.com,,,Humboldt,1716.0,Humboldt 1716,,,-34.5846121,-58.4352524,ok
31,Blanro,Junín 759,(54 11) 4374-2000,reservas@hotelblanro.com.ar,,,Junín,759.0,Junín 759,,,-34.6003167,-58.3970614,ok
32,Camaro Palace Hotel,Sarmiento 4239,(54 11) 4867-4798 / 0195,camaroph@hotmail.com,,,Sarmiento,4239.0,Sarmiento 4239,,,-34.6043688,-58.4249452,ok
33,Central Córdoba,San Martín 1021,(54 11) 4311-1175 / 4312-8524,reservas@hotelcentralcordoba.com.ar,,,San Martín,1021.0,San Martín 1021,,,-34.5947608,-58.3744403,ok
34,Crisol Mundial Hotel,De Mayo Av. 1298,(54 11) 4383-0011,reservas@mundialhotel.com.ar,,,De Mayo Av.,1298.0,De Mayo Av. 1298,,,-34.6088452,-58.3785356,ok
35,Diplomat,San Martín 918,(54 11) 4311-9370 / 4312-6124,,,,San Martín,918.0,San Martín 918,,,-34.5972653,-58.3743773,ok
36,Esperia,Urquiza 222,(54 11) 4957-3937,consultas@hotelesperia.com.ar,,,Urquiza,222.0,Urquiza 222,,,-34.6129987,-58.4099523,ok
37,Estilo MB,Callao Av. 164,(54 11) 4374-9112,buenosaires@hotelesestilomb.com.ar,,,Callao Av.,164.0,Callao Av. 164,,,-34.6072882,-58.3922351,ok
38,Gran Hotel Atlantic,Castelli 45,(54 11) 4951-0081,info@hotelatlantic.com.ar,,,Castelli,45.0,Castelli 45,,,-34.6094049,-58.4045599,ok
39,Gran Hotel Libertad,Libertad 249,(54 11) 4381-2631/4382-7789,info@granhotellibertad.com.ar,,,Libertad,249.0,Libertad 249,,,-34.6056621,-58.3835578,ok
40,Gran Vedra,De Mayo Av. 1350,(54 11) 4383-0584,info@hotelvedra.com.ar,,,De Mayo Av.,1350.0,De Mayo Av. 1350,,,-34.6088452,-58.3785356,ok
41,Guido Palace Hotel,Guido 1780,(54 11) 4812-0674 / 0841,hotelguidopalace@hotmail.com.ar,,,Guido,1780.0,Guido 1780,,,-34.5902924,-58.3897174,ok
42,Hotel A&B,Montevideo 248,(54 11) 4325-8960/4382-4118,recepcion@hotelayb.com,,,Montevideo,248.0,Montevideo 248,,,-34.606121,-58.389426,ok
44,Hotel Central,Solis 192,(54 11) 4373-8785,,,,Solis,192.0,Solis 192,,,-34.611238,-58.3902678,ok
45,Internacional,"Irigoyen, Bernardo De 552",(54 11) 4334-4949,info@hotel-internacional.com.ar,,,"Irigoyen, Bernardo De",552.0,"Irigoyen, Bernardo De 552",,,-34.6282587,-58.378062,ok
46,King's Hotel,Corrientes Av. 623,(54 11) 4322-8461 / 8161,reservas@kingshotel.com.ar,,,Corrientes Av.,623.0,Corrientes Av. 623,,,-34.6032129,-58.3755579,ok
47,Lisboa,"Mitre, Bartolome 1282",(54 11) 4381-2152,"info@hotel-lisboa.com.ar,lisboahotelbaires@outlook.com",,,"Mitre, Bartolome",1282.0,"Mitre, Bartolome 1282",,,-34.6080509,-58.3925892,ok
48,Los Tres Reyes,Brasil 423,(54 11) 4300-9456,hotel_tresreyes@yahoo.com,,,Brasil,423.0,Brasil 423,,,-34.6253056,-58.3717822,ok
49,Marbella Hotel,De Mayo Av. 1261,(54 11) 4383-8566/3573,info@hotelmarbella.com.ar,,,De Mayo Av.,1261.0,De Mayo Av. 1261,,,-34.6095608,-58.3867309,ok
50,Mine Hotel Boutique,Gorriti 4770,(54 11) 4832-1100,info@minehotel.com,,,Gorriti,4770.0,Gorriti 4770,,,-34.5910254,-58.4288576,ok
52,Palermo Hotel,Godoy Cruz 2725,(54 11) 4774-7342,reservas@consultoralibertadores.com,,,Godoy Cruz,2725.0,Godoy Cruz 2725,,,-34.5784727,-58.4249536,ok
53,Paname,Godoy Cruz 2774,(54 11) 4771-4041,reservas@panamehotel.com.ar,,,Godoy Cruz,2774.0,Godoy Cruz 2774,,,-34.577794,-58.4247563,ok
54,Plaza Roma,Lavalle 110,(54 11) 4311-1679,"info@hotelplazaroma.com.ar,reservas@hotelplazaroma.com.ar",https://hotelplazaromabuenosaires.com,,Lavalle,110.0,Lavalle 110,,,-34.6019044,-58.3693355,ok
55,Principe Hotel,Laprida 1454,(54 11) 4821-9818,principe@hotel-principe.com.ar,,,Laprida,1454.0,Laprida 1454,,,-34.5921029,-58.4056227,ok
57,Rio Hotel,Salguero 218,(54 11) 4983-8837,info@hotelrio.com.ar,,,Salguero,218.0,Salguero 218,,,-34.6082524,-58.4201397,ok
58,Tres Sargentos Hotel,Tres Sargentos 345,(54 11) 4312-6082,tresargentos@hotmail.com,www.hoteltressargentos.com.ar,,Tres Sargentos,345.0,Tres Sargentos 345,,,-34.5977182,-58.3723549,ok
59,Tucuman Palace Hotel,Tucuman 384,(54 11) 4311-3555,reservas@Tucumanpalacehotel.com.ar,,,Tucuman,384.0,Tucuman 384,,,-34.6008684,-58.3722975,ok
63,Constitucion Palace Hotel,Lima 1697,(54 11) 4305-9010 al 20,info@cphotel.com.ar,www.cphotel.com.ar,,Lima,1697.0,Lima 1697,,,-34.6307996,-58.3813386,ok
71,Gran Hotel Argentino,"Pellegrini, Carlos 37",(54 11) 4334-4001 / 02,info@hotel-argentino.com.ar,https://www.hotel-argentino.com.ar/,,"Pellegrini, Carlos",37.0,"Pellegrini, Carlos 37",,,-34.5899971,-58.3812423,ok
76,Hotel UTHGRA de las Luces,Alsina 525,(54 11) 4343-6776,reservas@uthgradelasluces.com.ar,http://www.uthgradelasluces.com.ar/,,Alsina,525.0,Alsina 525,,,-34.6102253,-58.3738405,ok
78,IBIS Congreso,"Yrigoyen, Hipolito 1592",(54 11) 5300-5555,h3251@accor.com,,,"Yrigoyen, Hipolito",1592.0,"Yrigoyen, Hipolito 1592",,,-34.6092282,-58.3750538,ok
81,La Perla Hotel,Jujuy Av. 36,(54 11) 5218-7737 al 40,info@hotellaperla.com.ar,www.hotellaperla.com.ar,,Jujuy Av.,36.0,Jujuy Av. 36,,,-34.6105894,-58.4057965,ok
82,Luey,Rivadavia Av. 2902,(54 11) 4862-3873 /4861-0403 /4866-4427,recepción@luey.com.ar,www.luey.com.ar,,Rivadavia Av.,2902.0,Rivadavia Av. 2902,,,-34.6103683,-58.4077467,ok
83,Lyon Hotel by MH,Riobamba 251,(54 11) 2832 1176,,,,Riobamba,251.0,Riobamba 251,,,-34.6063257,-58.3935676,ok
84,Napoleon Hotel,Rivadavia Av. 1364,(54 11) 5353-2031/37,info@hotel-napoleon.com.ar,,,Rivadavia Av.,1364.0,Rivadavia Av. 1364,,,-34.608945,-58.385736,ok
85,Normandie Hotel,Rodriguez Peña 320,(54 11) 4371-7001 al 06,normandie@hotelnormandie.com.ar,,,Rodriguez Peña,320.0,Rodriguez Peña 320,,,-34.605309,-58.3908857,ok
86,O2 Hotel Buenos Aires,Junín 357,(54 11) 4953-4455 / 4071,reservas@grupodotia.com,www.hoteleso2.com,,Junín,357.0,Junín 357,,,-34.6051703,-58.3966383,ok
87,Parlamento Hotel,Rodriguez Peña 61,(54 11) 4371-3789 / 4374-1410/1709,info@hotelparlamento.com.ar,www.hotelparlamento.com.ar,,Rodriguez Peña,61.0,Rodriguez Peña 61,,,-34.6083834,-58.3905745,ok
88,Regis Hotel,Lavalle 813,0810 222 6746 / (5411) 4327 2605,regisventa@hotelregis.com.ar,www.hotelregis.com.ar,,Lavalle,813.0,Lavalle 813,,,-34.6023464,-58.378385,ok
89,Rochester Concept,Maipu 572,(54 11) 4328-3930,info@rochester-hotel.com.ar,http://www.rochester-hotel.com.ar/concept/,,Maipu,572.0,Maipu 572,,,-34.6013941,-58.3769099,ok
90,Sarmiento Palace Hotel,Sarmiento 1953,(54 11) 4953-3420 / 3404 / 5014,info@hotelsarmiento.com.ar,,,Sarmiento,1953.0,Sarmiento 1953,,,-34.605724,-58.39445,ok
91,Sarum Hotel Design,Quesada 2370,(54 11) 4704-0039/0040,info@hotelsarum.com.ar,https://www.hotelsarum.com.ar/,,Quesada,2370.0,Quesada 2370,,,-34.5541815,-58.4627929,ok
92,Serena Hotel Buenos Aires,Libertad 1617,(54 11) 4813-3226,reservas@serenahoteles.com,,,Libertad,1617.0,Libertad 1617,,,-34.5894185,-58.3832556,ok
93,Splendid Hotel,Rivadavia Av. 950,(54 11) 4345-2800,ventas@hotel-splendid.com.ar,,,Rivadavia Av.,950.0,Rivadavia Av. 950,,,-34.6083702,-58.3798809,ok
94,Torre Hotel,Olleros 4186,(54 11) 4552-6034/6126,info@torre-hotel.com.ar,,,Olleros,4186.0,Olleros 4186,,,-34.574663,-58.4463963,ok
95,Viasui Hotel,Viamonte 960,(54 11) 5252- 3070 al 73,reservas@viasuihotel.com.ar,http://www.viasuihotel.com.ar/,,Viamonte,960.0,Viamonte 960,,,-34.6002204,-58.3804981,ok
96,Waldorf,Paraguay 450,(54 11) 4312-2071/9,"info@waldorf-hotel.com.ar,reservas@waldorf-hotel.com.ar",https://www.waldorf-hotel.com.ar/,,Paraguay,450.0,Paraguay 450,,,-34.5974219,-58.3735942,ok
97,562 Nogaro,Av. Julio A. Roca 562,(54 11) 4331-0091,reservas@562nogarohotel.com,,,Av. Julio A. Roca,562.0,Av. Julio A. Roca 562,,,-34.6100172,-58.3741936,ok
104,Carsson,Viamonte 650,(54 11) 4131-3800,info@hotelcarsson.com.ar,,,Viamonte,650.0,Viamonte 650,,,-34.5999568,-58.3760705,ok
112,Duomi Plaza Hotel,"Mitre, Bartolome 1480",(54 11) 6091-3888/3866,reservas@duomi.com.ar,,,"Mitre, Bartolome",1480.0,"Mitre, Bartolome 1480",,,-34.6070009,-58.3766938,ok
116,Exe Hotel Colon,"Pellegrini, Carlos 507",(54 11) 4320-3500,reservas@execolon.com.ar,,,"Pellegrini, Carlos",507.0,"Pellegrini, Carlos 507",,,-34.5899971,-58.3812423,ok
121,Hotel Globales Republica Wellness & Spa,Cerrito 370,(54 11) 4382-5050,res.republica@hotelesglobales.com,,,Cerrito,370.0,Cerrito 370,,,-34.6042755,-58.3823612,ok
123,Hotel Sheltown,"Alvear, Marcelo T. De 742",(54 11) 5254-6835,reservas@525hotel.com,www.525hotel.com,,"Alvear, Marcelo T. De",742.0,"Alvear, Marcelo T. De 742",,,-34.5973606,-58.3950462,ok
124,Howard Johnson Plaza Florida Street,Florida 944,(54 11) 4891-9200,reservas@hjFlorida.com.ar,,,Florida,944.0,Florida 944,,,-34.5971344,-58.3755105,ok
126,Intersur Recoleta,Callao Av. 1764,(54 11) 5533-4000,reservas@intersurrecoleta.com.ar,www.intersurrecoleta.com.ar,,Callao Av.,1764.0,Callao Av. 1764,,,-34.5894281,-58.389508,ok
127,Ker Recoleta,"Alvear, Marcelo T. De 1368",(54 11) 5277-4600,reservasrecoleta@kerhoteles.com.ar,,,"Alvear, Marcelo T. De",1368.0,"Alvear, Marcelo T. De 1368",,,-34.5973606,-58.3950462,ok
128,Lafayette,Reconquista 546,(54 11) 4393-9081,info@lafayettehotel.com.ar,,,Reconquista,546.0,Reconquista 546,,,-34.6015272,-58.3726236,ok
129,Lennox,Talcahuano 52,(54 11) 5272-1070,reservas@lennoxhotels.com,www.lennoxhotels.com,,Talcahuano,52.0,Talcahuano 52,,,-34.6081191,-58.3849697,ok
130,Melia Recoleta Plaza,Posadas 1557,(54 11) 5353-4000,reservas@meliarecoletaplaza.com.ar,,,Posadas,1557.0,Posadas 1557,,,-34.5869334,-58.3875214,ok
131,NH 9 De Julio,Cerrito 156,(54 11) 5776-6464 / 4124-7400,nh9dejulio@nh-hotels.com,www.nh-hotels.com,,Cerrito,156.0,Cerrito 156,,,-34.6067107,-58.3821908,ok
132,NH Collection Buenos Aires Crillón,"Santa Fe, Av. 796",(54 11) 5776-6464 / 4310-2000,nhcrillon@nh-hotels.com,www.nh-hotels.com,,"Santa Fe, Av.",796.0,"Santa Fe, Av. 796",,,-34.5950281,-58.3738663,ok
133,NH Collection Lancaster,Cordoba Av. 405,(54 11) 4131-6464,nhcollectionlancaster@nh-hotels.com,www.nh-hotels.com,,Cordoba Av.,405.0,Cordoba Av. 405,,,-34.5984052,-58.3729706,ok
134,NH Florida,San Martín 839,(54 11) 5776-6464 / 4321-9850,nhFlorida@nh-hotels.com,www.nh-hotels.com,,San Martín,839.0,San Martín 839,,,-34.5981451,-58.3741431,ok
135,NH Jousten,Corrientes Av. 280,(54 11) 5776-6464 / 4321-6750,nhcollectionjousten@nh-hotels.com,www.nh-hotels.com,,Corrientes Av.,280.0,Corrientes Av. 280,,,-34.6031589,-58.3709041,ok
136,NH Latino,Suipacha 309,(54 11) 5776-6464 / 4321-6700,nhlatino@nh-hotels.com,www.nh-hotels.com,,Suipacha,309.0,Suipacha 309,,,-34.6046594,-58.379356,ok
137,NH Tango,Cerrito 550,(54 11) 5776-6464 / 5411-4124,nhtango@nh-hotels.com,www.nh-hotels.com,,Cerrito,550.0,Cerrito 550,,,-34.6020443,-58.3824768,ok
138,Novotel,Corrientes Av. 1334,(54 11) 4370-9300 / 9500,h6503-re@accor.com,,,Corrientes Av.,1334.0,Corrientes Av. 1334,,,-34.6041034,-58.3856042,ok
139,Pestana Hotel,"Pellegrini, Carlos 877",(54 11) 5239-1000 / 1100,reservas.buenosaires@pestana.com,http://www.pestana.com/en/pestana-buenos-aires-hotel/pages/home.aspx,,"Pellegrini, Carlos",877.0,"Pellegrini, Carlos 877",,,-34.5899971,-58.3812423,ok
140,Presidente Hotel,Cerrito 850,(54 11) 4816-2222,reservas@hotelpresidente.com.ar,,,Cerrito,850.0,Cerrito 850,,,-34.5984749,-58.3829505,ok
141,Principado Downtown Hotel,Paraguay 481,(54 11) 4313-3022,reservas@principado.com.ar,,,Paraguay,481.0,Paraguay 481,,,-34.5973154,-58.3738136,ok
142,Recoleta Luxury Boutique Hotel,Parera 183,(54 11) 6777-0200,reservas.bsas@hotels-unique.com,,,Parera,183.0,Parera 183,,,-34.5908056,-58.3850889,ok
143,Reconquista Plaza Hotel,Reconquista 602,(54 11) 5263-0277,Reconquistaplaza@latitudhoteles.com,,,Reconquista,602.0,Reconquista 602,,,-34.6007492,-58.3726677,ok
144,Regente Palace Hotel,Suipacha 964,(54 11) 4328-6800,reservas@regente.com,,,Suipacha,964.0,Suipacha 964,,,-34.5969937,-58.3799363,ok
145,Rochester Classic,Esmeralda 542,0800-345-0040 / (54 11) 4326-6076 / 5256-1055,reservas@rochesterclassic.com.ar,,,Esmeralda,542.0,Esmeralda 542,,,-34.6018648,-58.378204,ok
160,Intercontinental Buenos Aires,Moreno 809,(54 11) 4340-7100,"andrea.hernandez@ihg.com,valeria.bulacio@ihg.com",https://www.ihg.com/intercontinental/hotels/us/es/buenos-aires/bueha/hoteldetail,,Moreno,809.0,Moreno 809,,,-34.6114314,-58.3779332,ok
162,Melia Buenos Aires,Reconquista 945,(54 11) 4891-3800,reservas@meliabuenosaires.com.ar,,,Reconquista,945.0,Reconquista 945,,,-34.5968091,-58.372976,ok
163,NH Buenos Aires City,Bolivar 160,(54 11) 4121-6464 / 6400,nhcity@nh-hotels.com,,,Bolivar,160.0,Bolivar 160,,,-34.6097812,-58.3734211,ok
164,Palacio Duhau - Park Hyatt Buenos Aires,Alvear Av. 1661,(54 11) 5171-1234,buenosaires.park@hyatt.com,,,Alvear Av.,1661.0,Alvear Av. 1661,,,-34.5874247,-58.3898172,ok
165,Regal Pacific,25 de mayo 764,(54 11) 4310-7000,reservas@regalpacific.com.ar,,,25 de mayo,764.0,25 de mayo 764,,,-34.598896,-58.3715304,ok
166,Sheraton Buenos Aires Hotel & Convention Center,San Martín 1225,(54 11) 4318-9000,reservations.buenosaires@marriot.com,www.sheratonbuenosaires.com,,San Martín,1225.0,San Martín 1225,,,-34.6062173,-58.3736847,ok
167,Sofitel Buenos Aires Recoleta,Posadas 1232,(54 11) 4819-1100,h8932-re@accor.com,,,Posadas,1232.0,Posadas 1232,,,-34.5903108,-58.3815168,ok
168,Apart Hotel Anchorena,Dr. Tomás Manuel de Anchorena 1121,(54 11) 4961-8548 / 9445/,info@anchorenaappart.com.ar,,,Dr. Tomás Manuel de Anchorena,1121.0,Dr. Tomás Manuel de Anchorena 1121,,,-34.5904484,-58.4016686,ok
169,Broadway Hotel & Suites,Corrientes Av. 1173,(54 11) 4378-9250,ventas@broadway-suites.com.ar,,,Corrientes Av.,1173.0,Corrientes Av. 1173,,,-34.6042369,-58.4119927,ok
170,Loi Suites Esmeralda,"Alvear, Marcelo T. De 842",(54 11) 4131-6800,reservas3@loisuites.com.ar,,,"Alvear, Marcelo T. De",842.0,"Alvear, Marcelo T. De 842",,,-34.5973606,-58.3950462,ok
171,Park Royal Buenos Aires,Suipacha 1092,(54 11) 4320-3600,reservationsbue@park-royalhotels.com,https://www.park-royalhotels.com/es/hoteles/argentina/buenos-aires/park-royal-city-buenos-aires/,,Suipacha,1092.0,Suipacha 1092,,,-34.6077223,-58.3792542,ok
172,Torre Cristoforo Colombo Suites,Fray Justo Santa María de Oro 2747,(54 11) 4778-4945,reservas@hotelcc.com.ar,https://www.hotelcc.com.ar,,Fray Justo Santa María de Oro,2747.0,Fray Justo Santa María de Oro 2747,,,-34.5767259,-58.4218627,ok
173,Trianon Residence Recoleta,Callao Av. 1869,(54 11) 4819-9300,info@trianon.com.ar,https://www.trianonresidence.com/,,Callao Av.,1869.0,Callao Av. 1869,,,-34.5885906,-58.3881644,ok
174,UP Viamonte,Viamonte 1373,(54 11) 4371-9993 / 5254 2210,,,,Viamonte,1373.0,Viamonte 1373,,,-34.6004853,-58.3862853,ok
175,Village Garden Apart Hotel,Suipacha 250,(54 11) 4326-0163 / 7879 / 8737,reservas@hotelvillagegarden.com.ar,,,Suipacha,250.0,Suipacha 250,,,-34.6054782,-58.3794076,ok
176,Argentina Tango Hotel,Suipacha 545,(54 9 11) 56 30 46 77,,http://www.atangohotel.com/#,,Suipacha,545.0,Suipacha 545,,,-34.6018676,-58.3795079,ok
177,Icaro Suites,Montevideo 229,(54 11) 4372-9000,resevas@icarosuites.com,,,Montevideo,229.0,Montevideo 229,,,-34.6062585,-58.3891957,ok
178,Intersur Suites,Corrientes Av. 1984,(54 11) 5246-1500,reservas@intersursuites.com.ar,,,Corrientes Av.,1984.0,Corrientes Av. 1984,,,-34.6046191,-58.3949777,ok
179,Ker House Belgrano,Vuelta de Obligado 2727,(54 11) 5277-4600 / 4789-9383,reservasbelgrano@kerhoteles.com.ar,,,Vuelta de Obligado,2727.0,Vuelta de Obligado 2727,,,-34.555491,-58.460669,ok
180,Ker Urban Urquiza,Dïaz Colodrero 2513,(54 11) 5353-9232 / 9233,reservasurquiza@kerhoteles.com.ar,,,Dïaz Colodrero,2513.0,Dïaz Colodrero 2513,,,-34.5727795,-58.4861833,ok
181,Mayflower Suites,Paraná 720,(54 11) 5238 0050 / 5235 0456,reservas@mayflowersuites.com.ar,,,Paraná,720.0,Paraná 720,,,-34.6003882,-58.3881939,ok
182,Palermo Suites Buenos Aires Apartments,Fray Justo Santa María de Oro 2529,(54 11) 5197-5800,reservas@palermosuites.net,,,Fray Justo Santa María de Oro,2529.0,Fray Justo Santa María de Oro 2529,,,-34.5788889,-58.4239079,ok
183,The Glu Hotel,Godoy Cruz 1733,(54 11) 4831-4646,info@thegluhotel.com,,,Godoy Cruz,1733.0,Godoy Cruz 1733,,,-34.5873154,-58.4334884,ok
184,Ulises Recoleta Suites,Ayacucho 2016,(54 11) 4804-4571 / 4572,info@ulisesrecoleta.com.ar,www.ulisesrecoleta.com.ar,,Ayacucho,2016.0,Ayacucho 2016,,,-34.5874116,-58.3890894,ok
185,UP America Plaza,"Mitre, Bartolome 1744",(54 11) 5031-3388,info@americaplazahotel.com.ar,https://www.upamericaplaza.com/,,"Mitre, Bartolome",1744.0,"Mitre, Bartolome 1744",,,-34.6097655,-58.4201427,ok
186,Urban Suites Recoleta,Junín 1727,(54 11) 4803 2300,ventas@urbanrecoleta.com,www.urbanrecoleta.com,,Junín,1727.0,Junín 1727,,,-34.5890174,-58.3925644,ok
187,Vitrum Hotel,Gorriti 5641,(54 11) 4776-5030,info@vitrumhotel.com,,,Gorriti,5641.0,Gorriti 5641,,,-34.5845449,-58.4375728,ok
188,Desing Ce - Hotel de Diseño,"Alvear, Marcelo T. De 1695",(54 11) 5237-3100,info@designce.com,http://www.designce.com/home/,,"Alvear, Marcelo T. De",1695.0,"Alvear, Marcelo T. De 1695",,,-34.5973606,-58.3950462,ok
189,Hotel Pampa Plaza,La Pampa 777,(54 11) 4789-9561 / 4788-3984/3084,info@hotelpampaplaza.com.ar,,,La Pampa,777.0,La Pampa 777,,,-34.5545481,-58.4371123,ok
190,ABC,Santiago Del Estero 1640,(54 11) 4304-2706,bettyyvos@gmail.com,,,Santiago Del Estero,1640.0,Santiago Del Estero 1640,,,-34.6274072,-58.3842697,ok
191,Alba,"Garay, Juan De Av. 1381",(54 11) 4304-2935 / 4306-4304,"albahoteleria@yahoo.com.ar,gaetos@hotmail.com",,,"Garay, Juan De Av.",1381.0,"Garay, Juan De Av. 1381",,,-34.6322782,-58.423002,ok
192,Aldeano I,La Rioja 277,(54 11) 4931-2980,aldeano1@hotelaldeano.com.ar,,,La Rioja,277.0,La Rioja 277,,,-34.6136306,-58.4086874,ok
193,Alsina,24 de noviembre 190,(54 11) 4931-9393,,,,24 de noviembre,190.0,24 de noviembre 190,,,-34.6128229,-58.4114228,ok
194,Aries,Gascón 1147,(54 11) 4883-1232/1164585589/44323702,info@arieshotel.com.ar,,,Gascón,1147.0,Gascón 1147,,,-34.5971583,-58.4231243,ok
195,Astor,Av. Caseros 896,(54 11) 4307-7117,info@astorhoteles.com.ar,,,Av. Caseros,896.0,Av. Caseros 896,,,-34.6278756,-58.3763895,ok
196,Autopista,Salta 1446,(54 11) 4305-1634,,,,Salta,1446.0,Salta 1446,,,-34.6253323,-58.3828085,ok
197,Bahia,"Yrigoyen, Hipolito 3062",(54 11) 4931-7198,info@elhotelbahia.com.ar,,,"Yrigoyen, Hipolito",3062.0,"Yrigoyen, Hipolito 3062",,,-34.6149472,-58.4277257,ok
198,Capri,Constitución 1881,(54 11) 4304-0305,,,,Constitución,1881.0,Constitución 1881,,,-34.6251429,-58.3922247,ok
199,Carlos I,"Calvo, Carlos 1463",(54 11) 4305-3700,cristianlanni@hotmail.com,,,"Calvo, Carlos",1463.0,"Calvo, Carlos 1463",,,-34.6193913,-58.3673519,ok
200,Casablanca,Santiago del Estero 1685,(54 11) 4305-4048,"cristinanovas@ciudad.com.ar,hotelcasablanca@ciudad.com.ar",,,Santiago del Estero,1685.0,Santiago del Estero 1685,,,-34.6279661,-58.3844215,ok
201,Central,Brasil 1327,(54 11) 4304-3783,,,,Brasil,1327.0,Brasil 1327,,,-34.6281767,-58.3847605,ok
202,Cibeles,"Cevallos, Virrey 264",(54 11) 4373-1444,hotelcibeles@hotmail.com.ar,,,"Cevallos, Virrey",264.0,"Cevallos, Virrey 264",,,-34.611842,-58.38903,ok
203,Colonial,24 de noviembre 229,(54 11) 4931-8800/3104,info@hotelcolonialbaires.com.ar,,,24 de noviembre,229.0,24 de noviembre 229,,,-34.6133808,-58.4114902,ok
204,Dos Mundos,Sarmiento 2009,(54 11) 4953-2171,hoteldosmundos@yahoo.com,,,Sarmiento,2009.0,Sarmiento 2009,,,-34.6057983,-58.3953534,ok
205,Egipto,Corrientes Av. 3193,(54 11) 4863-0808,info@hotelegipto.com.ar,,,Corrientes Av.,3193.0,Corrientes Av. 3193,,,-34.6039135,-58.4101055,ok
206,Esquel,Brasil 1319,(54 11) 4505-6362,,,,Brasil,1319.0,Brasil 1319,,,-34.6281605,-58.3846695,ok
207,Europa,"Mitre, Bartolome 1294",(54 11) 4384-8360,info@eurohotel.com.ar,,,"Mitre, Bartolome",1294.0,"Mitre, Bartolome 1294",,,-34.6070009,-58.3766938,ok
208,Galicia,"Yrigoyen, Hipolito 3072",(54 11) 4931-7270,,,,"Yrigoyen, Hipolito",3072.0,"Yrigoyen, Hipolito 3072",,,-34.6149472,-58.4277257,ok
